1,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1389,35km Walk
2,Shijie QIEYANG,11 NOV 1990,CHN,1352,35km Walk
3,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1352,35km Walk
4,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,1349,35km Walk
5,Raquel GONZÁLEZ,16 NOV 1989,ESP,1313,35km Walk
6,Maocuo LI,20 OCT 1992,CHN,1300,35km Walk
7,Laura GARCÍA-CARO,16 APR 1995,ESP,1290,35km Walk
8,Viviane LYRA,29 JUL 1993,BRA,1260,35km Walk
9,Serena SONODA,10 SEP 1996,JPN,1248,35km Walk
10,Paola PÉREZ,21 DEC 1989,ECU,1211,35km Walk
11,Viktória MADARÁSZ,12 MAY 1985,HUN,1210,35km Walk
12,Magaly BONILLA,08 FEB 1992,ECU,1202,35km Walk
13,Lamei YIN,21 DEC 2002,CHN,1200,35km Walk
14,Olga NIEDZIAŁEK,30 JUN 1997,POL,1191,35km Walk
15,Federica CURIAZZI,14 AUG 1992,ITA,1184,35km Walk
16,Karla JARAMILLO,21 JAN 1997,ECU,1161,35km Walk
17,Johana ORDÓŇEZ,12 DEC 1987,ECU,1160,35km Walk
18,Evelyn INGA,16 APR 1998,PER,1159,35km Walk
19,Inês HENRIQUES,01 MAY 1980,POR,1151,35km Walk
20,Mar JUÁREZ,27 SEP 1993,ESP,1139,35km Walk
21,Mirna ORTÍZ,28 FEB 1987,GUA,1138,35km Walk
22,Nadia Lizeth GONZALEZ MANJARREZ,21 MAR 1997,MEX,1137,35km Walk
23,Tereza ĎURDIAKOVÁ,20 FEB 1991,CZE,1129,35km Walk
24,Yasury PALACIOS,26 OCT 1999,GUA,1125,35km Walk
25,Inna LOSEVA,27 SEP 1991,UKR,1123,35km Walk
26,Sandra Viviana GALVIS,28 JUN 1986,COL,1113,35km Walk
27,Alejandra ORTEGA,08 JUL 1994,MEX,1099,35km Walk
28,Anabelly ORJUELA,24 JUL 1988,COL,1094,35km Walk
29,Elisa NEUVONEN,19 MAR 1991,FIN,1094,35km Walk
30,Nicole COLOMBI,29 DEC 1995,ITA,1093,35km Walk
31,Maika YAGI,21 JAN 1999,JPN,1093,35km Walk
32,Vitória OLIVEIRA,30 AUG 1992,POR,1093,35km Walk
33,Bethan DAVIES,07 NOV 1990,GBR,1088,35km Walk
34,Galina YAKUSHEVA,14 JUL 1988,KAZ,1078,35km Walk
35,Kelly RUDDICK,19 APR 1973,AUS,1075,35km Walk
36,Ana Veronica RODEAN,23 JUN 1984,ROU,1068,35km Walk
37,Faying MA,30 AUG 1993,CHN,1068,35km Walk
38,Stephanie CASEY,01 AUG 1983,USA,1061,35km Walk
39,Hana BURZALOVÁ,03 NOV 2000,SVK,1059,35km Walk
40,Antia CHAMOSA,07 OCT 1999,ESP,1057,35km Walk
41,Lidia BARCELLA,21 APR 1997,ITA,1055,35km Walk
42,Miranda MELVILLE,20 MAR 1989,USA,1053,35km Walk
43,Sara VITIELLO,06 AUG 1996,ITA,1049,35km Walk
44,Maria MICHTA-COFFEY,23 JUN 1986,USA,1044,35km Walk
45,Rita RÉCSEI,30 JAN 1996,HUN,1041,35km Walk
46,Marina PEÑA ALONSO,18 MAR 1999,ESP,1040,35km Walk
47,Mao TATSUMI,12 JAN 2000,JPN,1033,35km Walk
48,Ilse GUERRERO,24 MAR 1993,MEX,1031,35km Walk
49,Kate VEALE,05 JAN 1994,IRL,1030,35km Walk
50,Quanming WU,16 NOV 2001,CHN,1029,35km Walk
51,Cristina MONTESINOS,12 JUL 1994,ESP,1027,35km Walk
52,Aura Libertad MORALES,07 JUN 1982,MEX,1023,35km Walk
53,Tamara HAVRYLYUK,14 DEC 1995,UKR,1020,35km Walk
54,Nathaly LEON,03 JUN 1998,ECU,1019,35km Walk
55,Elianay PEREIRA,11 MAY 1984,BRA,1017,35km Walk
56,Efstathia KOURKOUTSAKI,31 JAN 1998,GRE,1016,35km Walk
57,Mayara Luize VICENTAINER,03 MAR 1991,BRA,1010,35km Walk
58,Agnieszka ELLWARD,26 MAR 1989,POL,1009,35km Walk
59,Xueying BAI,26 APR 2000,CHN,1000,35km Walk
60,Ema HAČUNDOVÁ,05 MAR 1999,SVK,999,35km Walk
61,Vittoria GIORDANI,14 MAR 2000,ITA,957,35km Walk
62,Katrin SCHUSTERS,04 AUG 1997,GER,950,35km Walk
63,Yuki YOSHIZUMI,07 JAN 1996,JPN,922,35km Walk
64,Sandra SILVA,21 SEP 1975,POR,916,35km Walk
65,Casandra Milenka NIETO LINARES,29 NOV 1994,BOL,888,35km Walk
66,Kae SUGIYAMA,19 SEP 2000,JPN,873,35km Walk
67,Mariela SÁNCHEZ TERÁN,25 AUG 1991,MEX,870,35km Walk
68,Lucie BARRITAULT,29 APR 1990,FRA,866,35km Walk
69,Jana ZIKMUNDOVÁ,02 OCT 2002,CZE,849,35km Walk
70,Anett TORMA,02 APR 1984,HUN,837,35km Walk
71,Sonia DEMON,15 AUG 1972,FRA,830,35km Walk
72,Erin TAYLOR TALCOTT,21 MAY 1978,USA,800,35km Walk
73,Nair DA ROSA,22 MAR 1980,BRA,745,35km Walk
74,Lenka BOROVIČKOVÁ,1973,CZE,673,35km Walk
