1,Nafissatou THIAM,19 AUG 1994,BEL,1420,Heptathlon
2,Anouk VETTER,04 FEB 1993,NED,1403,Heptathlon
3,Adrianna SUŁEK,03 APR 1999,POL,1360,Heptathlon [Pentathlon ind.]
4,Noor VIDTS,30 MAY 1996,BEL,1360,Heptathlon [Pentathlon ind.]
5,Anna HALL,23 MAR 2001,USA,1332,Heptathlon
6,Annik KÄLIN,27 APR 2000,SUI,1288,Heptathlon
7,Emma OOSTERWEGEL,29 JUN 1998,NED,1271,Heptathlon
8,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1243,Heptathlon
9,Holly MILLS,15 APR 2000,GBR,1208,Heptathlon [Pentathlon ind.]
10,Claudia CONTE,14 NOV 1999,ESP,1193,Heptathlon
11,Sophie WEIßENBERG,24 SEP 1997,GER,1188,Heptathlon
12,Carolin SCHÄFER,05 DEC 1991,GER,1183,Heptathlon
13,Jade O'DOWDA,09 SEP 1999,GBR,1178,Heptathlon
14,Dorota SKŘIVANOVÁ,26 NOV 1998,CZE,1175,Heptathlon [Pentathlon ind.]
15,Paulina LIGARSKA,09 APR 1996,POL,1175,Heptathlon
16,Michelle ATHERLEY,12 DEC 1995,USA,1170,Heptathlon
17,Chari HAWKINS,21 MAY 1991,USA,1167,Heptathlon [Pentathlon ind.]
18,Saga VANNINEN,04 MAY 2003,FIN,1165,Heptathlon
19,Martha Valeria ARAUJO SINISTERRA,12 MAY 1996,COL,1158,Heptathlon
20,Bianca SALMING,22 NOV 1998,SWE,1155,Heptathlon
21,Ashtin ZAMZOW-MAHLER,13 AUG 1996,USA,1153,Heptathlon
22,Taneille CRASE,06 OCT 1994,AUS,1149,Heptathlon
23,Léonie CAMBOURS,31 JUL 2000,FRA,1146,Heptathlon [Pentathlon ind.]
24,Odile AHOUANWANOU,05 JAN 1991,BEN,1143,Heptathlon
25,Sofie DOKTER,19 DEC 2002,NED,1138,Heptathlon
26,Sveva GEREVINI,31 MAY 1996,ITA,1134,Heptathlon [Pentathlon ind.]
27,Sarah LAGGER,03 SEP 1999,AUT,1117,Heptathlon [Pentathlon ind.]
28,Marijke ESSELINK,22 JUN 1999,NED,1108,Heptathlon
29,Yuliya LOBAN,07 AUG 2000,UKR,1108,Heptathlon [Pentathlon ind.]
30,Erin MARSH,1999,USA,1108,Heptathlon [Pentathlon ind.]
31,Ekaterina VORONINA,16 FEB 1992,UZB,1105,Heptathlon
32,Edyta BIELSKA,17 JUN 2001,POL,1103,Heptathlon
33,Miia SILLMAN,03 JUN 1995,FIN,1098,Heptathlon
34,Kristīne BLAŽEVIČA,11 DEC 2001,LAT,1097,Heptathlon
35,Esther TURPIN,29 APR 1996,FRA,1096,Heptathlon
36,Mareike RÖSING,31 DEC 1999,GER,1096,Heptathlon
37,Jodie SMITH,02 NOV 2001,GBR,1094,Heptathlon [Pentathlon ind.]
38,Laura IKAUNIECE,31 MAY 1992,LAT,1093,Heptathlon
39,Ana Camila PIRELLI CUBAS,30 JAN 1989,PAR,1092,Heptathlon
40,Ida EIKENG,25 JUN 1999,NOR,1090,Heptathlon
41,Anaelle NYABEU DJAPA,15 SEP 1992,FRA,1089,Heptathlon [Pentathlon ind.]
42,Meg HEMPHILL,23 MAY 1996,JPN,1088,Heptathlon
43,Anna-Lena OBERMAIER,10 JUL 1996,GER,1088,Heptathlon
44,Elisa PINEAU,26 OCT 1998,FRA,1082,Heptathlon
45,Sandrina SPRENGEL,12 MAR 2004,GER,1082,Heptathlon
46,Serina RIEDEL,12 APR 2003,GER,1074,Heptathlon
47,Raiane VASCONCELOS,03 JUL 1997,BRA,1072,Heptathlon [Pentathlon ind.]
48,Lydia BOLL,01 DEC 1999,SUI,1072,Heptathlon
49,Pippi Lotta ENOK,19 AUG 2002,EST,1072,Heptathlon
50,Lexie KELLER,USA,1070,Heptathlon [Pentathlon ind.],
51,Yuki YAMASAKI,06 JUN 1995,JPN,1068,Heptathlon
52,Celine ALBISSER,05 MAY 1996,SUI,1067,Heptathlon
53,Viktoriya VASEYKINA,19 MAR 1997,ANA,1066,Heptathlon [Pentathlon ind.]
54,Chiara-Belinda SCHULER,02 JUN 2001,AUT,1064,Heptathlon
55,Allie JONES,29 JUN 2000,USA,1064,Heptathlon
56,Anne VAN DE WIEL,04 JUN 1997,NED,1062,Heptathlon
57,Lovisa KARLSSON,15 JAN 2000,SWE,1061,Heptathlon [Pentathlon ind.]
58,Hanne MAUDENS,12 MAR 1997,BEL,1060,Heptathlon [Pentathlon ind.]
59,Ella RUSH,08 APR 2004,GBR,1056,Heptathlon [Pentathlon ind.]
60,Shaina BURNS,21 MAR 1996,USA,1056,Heptathlon
61,Géraldine RUCKSTUHL,24 FEB 1998,SUI,1053,Heptathlon
62,Julia SŁOCKA,18 FEB 2001,POL,1053,Heptathlon
63,Myke VAN DE WIEL,04 JUN 1997,NED,1050,Heptathlon
64,Marie DEHNING,26 MAY 2003,GER,1050,Heptathlon
65,Nicole OSTERTAG,2000,CAN,1049,Heptathlon
66,Nicola ADER,08 MAY 1998,GER,1049,Heptathlon
67,Daria DIKHANOVA,23 MAR 2000,UKR,1049,Heptathlon [Pentathlon ind.]
68,Sterling LESTER,13 NOV 2000,USA,1048,Heptathlon
69,Amanda LILJENDAL,31 MAR 1998,FIN,1045,Heptathlon
70,Liisa-Maria LUSTI,22 AUG 2004,EST,1045,Heptathlon
71,Barbora ZATLOUKALOVÁ,03 JUN 1997,CZE,1043,Heptathlon [Pentathlon ind.]
72,Sandra RÖTHLIN,02 JAN 1999,SUI,1043,Heptathlon [Pentathlon ind.]
73,Célia PERRON,18 APR 1997,FRA,1042,Heptathlon
74,Isabel WAKEFIELD,05 JAN 2000,GBR,1042,Heptathlon [Pentathlon ind.]
75,Janina LANGE,23 NOV 1997,GER,1042,Heptathlon
76,Andrea MEDINA,26 APR 1996,ESP,1040,Heptathlon [Pentathlon ind.]
77,Halley FOLSOM,USA,1040,Heptathlon [Pentathlon ind.],
78,Yuliya SOKHATSKAYA,12 DEC 2001,RUS,1038,Heptathlon [Pentathlon ind.]
79,Marys A. PATTERSON,16 OCT 2001,CUB,1038,Heptathlon
80,Sofia IFANTIDOU,05 JAN 1985,GRE,1036,Heptathlon
81,Cassandre AGUESSY THOMAS,01 SEP 1997,FRA,1036,Heptathlon [Pentathlon ind.]
82,Laura VOß,29 JAN 1994,GER,1036,Heptathlon [Pentathlon ind.]
83,Gerda Kerija DREIMANE,27 JAN 2004,LAT,1036,Heptathlon
84,Louise MARAVAL,31 JUL 2001,FRA,1035,Heptathlon
85,Szabina SZŰCS,04 FEB 2002,HUN,1033,Heptathlon
86,Sophia MULDER,12 SEP 2002,NED,1033,Heptathlon
87,Kateřina DVOŘÁKOVÁ,10 MAY 1997,CZE,1032,Heptathlon [Pentathlon ind.]
88,Sarah GLIDDEN,USA,1032,Heptathlon,
89,Alysbeth FELIX BOYER,07 MAR 1993,PUR,1031,Heptathlon
90,Beatričė JUŠKEVIČIŪTĖ,10 JAN 2000,LTU,1030,Heptathlon [Pentathlon ind.]
91,Avery MCMULLEN,2000,USA,1027,Heptathlon [Pentathlon ind.]
92,Yelena YERMOLINA,03 FEB 1989,RUS,1023,Heptathlon
93,Mareike ARNDT,29 JAN 1992,GER,1023,Heptathlon [Pentathlon ind.]
94,Sharlota PAEHLITSE,20 NOV 1998,BLR,1022,Heptathlon [Pentathlon ind.]
95,Swapna BARMAN,29 OCT 1996,IND,1021,Heptathlon
96,Melanie WINTERS,11 NOV 1993,USA,1021,Heptathlon
97,Camryn NEWTON-SMITH,27 APR 2000,AUS,1020,Heptathlon
98,Karin ODAMA,21 OCT 1999,JPN,1020,Heptathlon
99,Timara CHAPMAN,05 MAY 2000,USA,1019,Heptathlon
100,Jade BONTKE,USA,1018,Heptathlon [Pentathlon ind.],
