1,Perseus KARLSTRÖM,02 MAY 1990,SWE,1327,20km Walk
2,Álvaro MARTÍN,18 JUN 1994,ESP,1318,20km Walk
3,Koki IKEDA,03 MAY 1998,JPN,1303,20km Walk
4,Caio BONFIM,19 MAR 1991,BRA,1303,20km Walk
5,Brian Daniel PINTADO,29 JUL 1995,ECU,1299,20km Walk
6,Samuel Kireri GATHIMBA,26 OCT 1987,KEN,1285,20km Walk
7,Diego GARCÍA CARRERA,19 JAN 1996,ESP,1267,20km Walk [10km Walk]
8,Alberto AMEZCUA,10 MAY 1992,ESP,1255,20km Walk
9,Hiroto JUSHO,11 JAN 2000,JPN,1253,20km Walk
10,David HURTADO,21 APR 1999,ECU,1243,20km Walk
11,Declan TINGAY,06 FEB 1999,AUS,1232,"20km Walk [10,000m Walk]"
12,César Augusto RODRÍGUEZ,26 JUN 1997,PER,1228,20km Walk
13,Wayne SNYMAN,08 MAR 1985,RSA,1213,20km Walk
14,Francesco FORTUNATO,13 DEC 1994,ITA,1211,20km Walk [10km Walk]
15,Evan DUNFEE,28 SEP 1990,CAN,1191,"20,000m Walk,20km Walk [10,000m Walk]"
16,Yuta KOGA,15 JUL 1999,JPN,1184,"20km Walk [10,000m Walk]"
17,José Eduardo ORTIZ,08 MAR 2000,GUA,1179,"20,000m Walk,20km Walk"
18,Massimo STANO,27 FEB 1992,ITA,1179,20km Walk [10km Walk]
19,Marc TUR,30 NOV 1994,ESP,1179,"20km Walk [10,000m Walk]"
20,Eiki TAKAHASHI,19 NOV 1992,JPN,1177,20km Walk
21,José Alejandro BARRONDO,16 SEP 1996,GUA,1170,20km Walk
22,Gianluca PICCHIOTTINO,22 AUG 1996,ITA,1168,20km Walk
23,Paul MCGRATH,07 MAR 2002,ESP,1166,20km Walk [10km Walk]
24,Yutaro MURAYAMA,29 SEP 1998,JPN,1166,"20km Walk [10,000m Walk]"
25,Iván LÓPEZ,29 MAR 1997,ESP,1160,"20km Walk [10,000m Walk]"
26,Noel CHAMA,15 SEP 1997,MEX,1157,20km Walk
27,Kyle SWAN,28 MAR 1999,AUS,1156,"20km Walk [10,000m Walk]"
28,Kevin CAMPION,23 MAY 1988,FRA,1155,20km Walk
29,José Oswaldo CALEL,08 AUG 1998,GUA,1154,20km Walk
30,David KENNY,10 JAN 1999,IRL,1153,20km Walk
31,Kaihua WANG,16 FEB 1994,CHN,1152,20km Walk [10km Walk]
32,Érick Bernabé BARRONDO,14 JUN 1991,GUA,1151,20km Walk
33,Aleksi OJALA,09 DEC 1992,FIN,1151,20km Walk
34,Hagen POHLE,05 MAR 1992,GER,1150,20km Walk
35,Álvaro LÓPEZ,24 MAR 1999,ESP,1149,"20km Walk [10,000m Walk]"
36,José Manuel PÉREZ,10 SEP 1999,ESP,1147,"20km Walk [10,000m Walk]"
37,Jordy Rafael JIMÉNEZ ARROBO,11 FEB 1994,ECU,1144,20km Walk
38,Saul MENA,02 MAR 2001,MEX,1144,20km Walk
39,Rhydian COWLEY,04 JAN 1991,AUS,1143,20km Walk [5000m Walk]
40,Nils BREMBACH,23 FEB 1993,GER,1142,20km Walk
41,Lihong CUI,13 MAY 1999,CHN,1142,20km Walk [10km Walk]
42,Andrea COSI,30 APR 2001,ITA,1142,20km Walk
43,Matheus CORREA,22 AUG 1999,BRA,1139,"20,000m Walk,20km Walk"
44,Jun ZHANG,20 JUL 1998,CHN,1137,20km Walk [10km Walk]
45,Nick CHRISTIE,29 SEP 1991,USA,1132,20km Walk [5000m Walk]
46,Subaru ISHIDA,04 JUN 1999,JPN,1128,20km Walk [10km Walk]
47,Eider ARÉVALO,09 MAR 1993,COL,1117,20km Walk
48,Dominik ČERNÝ,01 NOV 1997,SVK,1115,"20,000m Walk,20km Walk [10km Walk]"
49,Quentin REW,16 JUL 1984,NZL,1113,"20km Walk [10,000m Walk]"
50,Benjamin THORNE,19 MAR 1993,CAN,1109,"20,000m Walk,20km Walk"
51,Jhon Alexander CASTAÑEDA,19 FEB 1992,COL,1108,20km Walk
52,Rihito ISHIDA,19 DEC 2001,JPN,1108,20km Walk
53,Miroslav ÚRADNÍK,24 MAR 1996,SVK,1106,20km Walk [10km Walk]
54,Joni HAVA,14 JUN 1999,FIN,1105,"20km Walk [10,000m Walk]"
55,Tom BOSWORTH,17 JAN 1990,GBR,1098,"20km Walk [10,000m Walk]"
56,Aurélien QUINION,27 JAN 1993,FRA,1095,20km Walk
57,Leo KÖPP,23 MAY 1998,GER,1094,20km Walk
58,Wenchao NIU,20 APR 1998,CHN,1092,20km Walk [10km Walk]
59,Juan José SOTO,22 AUG 1999,COL,1092,20km Walk
60,Riccardo ORSONI,20 JAN 2000,ITA,1091,20km Walk
61,Will THOMPSON,18 NOV 2002,AUS,1089,"20km Walk [10,000m Walk]"
62,Motofumi SUWA,22 OCT 1999,JPN,1089,"20km Walk [10,000m Walk]"
63,Jerry JOKINEN,18 MAR 2002,FIN,1089,"20km Walk [10,000m Walk]"
64,Juan Manuel CANO,12 DEC 1987,ARG,1086,"20km Walk [10,000m Walk]"
65,Hayato YANAGIHARA,28 MAR 2000,JPN,1083,"20km Walk [10,000m Walk]"
66,Gabriel BORDIER,08 OCT 1997,FRA,1081,20km Walk
67,Sandeep KUMAR,01 MAY 1986,IND,1078,"20km Walk [10,000m Walk]"
68,Cesar Alberto HERRERA CORTEZ,28 JAN 1999,COL,1075,"20,000m Walk,20km Walk"
69,Oisin LANE,12 JUN 2002,IRL,1071,20km Walk
70,Daniel Goni BALLESTEROS,11 FEB 1996,ESP,1067,20km Walk [10km Walk]
71,Cristhian JUÁREZ LÓPEZ,02 DEC 2002,MEX,1064,20km Walk
72,Mattéo DUC,25 MAR 2001,FRA,1058,20km Walk
73,Christian ROJAS,26 MAY 2002,COL,1050,"20km Walk [10,000m Walk]"
74,Carl GIBBONS,19 JUN 1996,AUS,1048,"20km Walk [10,000m Walk]"
75,Yassir CABRERA,28 JAN 1988,PAN,1046,20km Walk
76,Abdülselam İMUK,10 OCT 1999,TUR,1044,20km Walk
77,Hélder SANTOS,07 MAR 1996,POR,1043,"20km Walk [10,000m Walk]"
78,Tim FRASER,2000,AUS,1042,"20km Walk [10,000m Walk]"
79,Jaakko MÄÄTTÄNEN,03 SEP 1999,FIN,1039,"20km Walk [10,000m Walk]"
80,Norbert TÓTH,07 OCT 2001,HUN,1035,20km Walk [10km Walk]
81,Lucas MAZZO,19 MAY 1994,BRA,1035,20km Walk
82,Dan NEHNEVAJ,28 MAR 1997,USA,1033,"20km Walk [10,000m Walk]"
83,Anderson CALLEJAS,17 JUN 2000,COL,1033,"20km Walk [10,000m Walk]"
84,Óscar Magdaniel POP,29 OCT 2001,GUA,1032,"20,000m Walk,20km Walk"
85,Raivo SAULGRIEZIS,04 JUL 1994,LAT,1032,20km Walk
86,Paulo MARTINS,15 JAN 1999,POR,1030,"20km Walk [10,000m Walk]"
87,Jesus CALDERON,13 APR 1997,MEX,1028,20km Walk
88,Tyler JONES,08 APR 1998,AUS,1027,"20km Walk [10,000m Walk]"
89,Brendan BOYCE,08 OCT 1986,IRL,1025,20km Walk [10km Walk]
90,Dimitri DURAND,03 JUN 2002,FRA,1025,"20km Walk [10,000m Walk]"
91,Fumiya KOGA,13 DEC 2003,JPN,1023,20km Walk [10km Walk]
92,César CÓRDOVA FERNÁNDEZ,20 OCT 2002,MEX,1020,20km Walk
93,Gonzalo Antonio BUSTAN JAPON,15 JUL 2000,ECU,1017,"20,000m Walk,20km Walk"
94,Martin MADELINE-DEGY,07 MAR 2001,FRA,1012,20km Walk
95,Cameron CORBISHLEY,31 MAR 1997,GBR,1004,20km Walk
96,Mattia BRAGGIO,13 FEB 2000,ITA,993,20km Walk
97,Gabriele GAMBA,22 JAN 2002,ITA,989,"20km Walk [10,000m Walk]"
98,Kyrian VALLEE,12 JUL 1994,FRA,985,20km Walk
99,Mitchell BAKER,06 JUL 2001,AUS,980,"20km Walk [10,000m Walk]"
100,Francesco BENVENUTO,14 DEC 2002,ITA,978,20km Walk
