id,name,sex
14336705,Kelsey-Lee Barber,F
14407592,Nina Kennedy,F
14411267,Eleanor Patterson,F
14464527,Mackenzie Little,F
14565327,Kurtis Marschall,M
14673644,Ashley Moloney,M
14457807,Jemima Montag,F
14455361,Nicola Olyslagers,F
14456885,Peter Bol,M
14271241,Brooke Buschkuehl,F
14940604,Rhydian Cowley,M
14436890,Matthew Denny,M
14446988,Cedric Dubler,M
14272002,Linden Hall,F
14667553,Oli Hoare,M
14464506,Jessica Hull,F
14500488,Stewart McSweyn,M
14271632,Kathryn Mitchell,F
14387190,Brandon Starc,M
14619618,Declan Tingay,M
14572123,Liam Adcock,M
14743991,Joshua Azzopardi,M
14464502,Joel Baden,M
14463325,Catriona Bisset,F
14575440,Rohan Browning,M
14636659,Abbey Caldwell,F
14455195,Elizabeth Clay,F
14517121,Ella Connolly,F
14613323,Riley Day,F
14622158,Joseph Deng,M
14511251,Jacob Despard,M
14490253,Sinead Diver,F
14731617,Jake Doran,M
14575462,Kristie Edwards,F
14179673,Henry Frayne,M
14533629,Daniel Golubovic,M
14549778,Georgia Griffith,F
14636668,Rebecca Henderson,F
14820122,Reece Holder,M
14365887,Michelle Jenneke,F
14671089,Ebony Lane,F
14874649,Calab Law,M
14778459,Torrie Lewis,F
14924344,Bree Masters,F
14552175,Chris Mitrevski,M
14690008,Stephanie Ratcliffe,F
14767186,Dhruv Rodrigues-Chico,M
14550669,Darcy Roper,M
14611740,Kyle Swan,M
14271094,Lisa Weightman,F
14336656,Jess Stenson,F
14436876,Naa Anang,F
14496696,Jacinta Beecher,F
14740976,Samantha Dale,F
14787531,Lianna Davidson,F
14608674,Cara Feain-Ryan,F
14271807,Genevieve Gregson,F
14671065,Mia Gross,F
14817316,Aiden Hinson,M
14970569,Lachlan Kennedy,M
14674731,Alexander Kolesnikoff,M
14761633,Nash Lowis,M
14861747,Jack Lunn,M
14622433,Cameron McEntyre,M
14777855,Mackenzie Mielczarek,F
14555113,Celeste Mucci,F
14765468,Connor Murphy,M
14448453,Ellie Pashley,F
14691030,Allanah Pitcher,F
14865727,Ky Robinson,M
14812769,Jalen Rucker,M
14815270,Olivia Sandery,F
14859206,Erin Shaw,F
14823682,Adam Spencer,M
14668498,Carley Thomas,F
14730466,Will Thompson,M
14878490,Connor Bond,M
14861699,Tiana Boras,F
14935280,Luke Boyes,M
14615310,Tomysha Clark,F
14769953,Jack Downey,M
14733124,Tim Fraser,M
14861366,Liam Gilbert,M
14861460,Jai Gordon,M
14670290,Georgia Harris,F
14922448,Claudia Hollingsworth,F
14691224,Neil Janse van Rensberg ,M
14861793,Charlie Jeffreson,M
14831970,Elyssia Kenshole,F
14814102,Hayley Kitching,F
14875656,Mitchell Lightfoot,M
14812564,Howard McDonald,M
14636671,Annie McGuire,F
14771862,Elizabeth McMillen,F
14774575,Oscar Miers,M
14831958,Jessica Milat,F
14828239,Darcy Miller,M
14815259,Aidan Murphy,M
14962470,Cameron Myers,M
14814142,Tomas Palfrey,M
14686671,Alanna Peart,F
14689526,Alexandra Roberts,F
14782478,Mia Scerri,F
14963397,Sebastian Sultana,M
14861516,Emelia Surch,F
14861525,Jude Thomas,F
14577424,Jessie Andrew,F
14519260,Isobel Batt-Doyle,F
14360445,Alex Beck,M
14768392,Ellie Beer,F
14411012,Ben Buckingham,M
14406120,Sarah Carli,F
14336764,Amy Cashin,F
14689546,Matthew Clarke,M
14517594,Rose Davies,F
14272049,Taryn Gollshewsky,F
14553618,Jack Hale,M
14495639,Alex Hulley,F
14619610,Christopher Ius,M
14411163,Hannah Jones,F
14554579,Julian Konle,M
14635855,Jacob McCorry,M
14496066,Morgan McDonald,M
14517173,Jake Penny,M
14576384,Matthew Ramsden,M
14517160,Jack Rayner,M
14336706,Brett Robinson,M
14386314,Steven Solomon,M
14433154,Patrick Tiernan,M
14668477,Ed Trippas,M
